"LTER_site","local_site","site_ID","latitude","longitude","USDA_sand","USDA_silt","USDA_clay","USDA_texture","WRB_sand","WRB_silt","WRB_clay","WRB_texture"
"NWT","Saddle","A2",40.05635168,-105.5942169,43.67,46.75,9.58,"Lo",39.09,51.32,9.58,"SiLo"
"NWT","Saddle","A3",40.0563715,-105.5935083,40.78,49.25,9.98,"Lo",37.55,52.48,9.98,"SiLo"
"NWT","Saddle","B1",40.05580131,-105.5949304,55.32,38.06,6.62,"SaLo",51.7,41.68,6.62,"SaLo"
"NWT","Saddle","B3",40.0557891,-105.5934707,56.63,36.98,6.39,"SaLo",53.72,39.89,6.39,"SaLo"
"NWT","Saddle","B4",40.05582609,-105.592797,58.97,33.69,7.33,"SaLo",55.89,36.76,7.33,"SaLo"
"NWT","Saddle","B5",40.0558249,-105.5920713,65.17,28.42,6.41,"SaLo",62.46,31.13,6.41,"SaLo"
"NWT","Saddle","B6",40.05580624,-105.5913764,61.47,31.61,6.91,"SaLo",58.77,34.31,6.91,"SaLo"
"NWT","Saddle","C1",40.05527279,-105.5941995,59.53,33.84,6.63,"SaLo",55.24,38.13,6.63,"SaLo"
"NWT","Saddle","C2",40.0552713,-105.5934853,38.75,54.78,6.48,"SiLo",34.42,59.11,6.48,"SiLo"
"NWT","Saddle","C3",40.05525654,-105.5928226,57.43,35.67,6.88,"SaLo",53.16,39.94,6.88,"SaLo"
"NWT","Saddle","C4",40.05528028,-105.5921034,56.23,36.07,7.7,"SaLo",52.45,39.85,7.7,"Lo"
"NWT","Saddle","C5",40.05528265,-105.5913845,34.96,58.38,6.67,"SiLo",30.64,62.7,6.67,"SiLo"
"NWT","Saddle","C6",40.05530278,-105.5906892,54.75,37.86,7.39,"SaLo",51.51,41.11,7.39,"SaLo"
"NWT","Saddle","C7",40.05529184,-105.589958,36.27,54.79,8.93,"SiLo",32.31,58.76,8.93,"SiLo"
"NWT","Saddle","C8",40.05531092,-105.5892701,46.66,45.05,8.28,"Lo",42.61,49.1,8.28,"Lo"
"NWT","Saddle","D1",40.05474931,-105.5934924,56.31,37.57,6.12,"SaLo",51.56,42.32,6.12,"SaLo"
"NWT","Saddle","D2",40.05473855,-105.5927751,53.34,38.3,8.37,"SaLo",49.49,42.15,8.37,"Lo"
"NWT","Saddle","D3",40.05475557,-105.5920666,54.77,37.01,8.22,"SaLo",51.44,40.34,8.22,"Lo"
"NWT","Saddle","D4",40.05474881,-105.5913547,34.78,55.57,9.64,"SiLo",30.31,60.04,9.64,"SiLo"
"NWT","Saddle","D5",40.05474871,-105.5906769,30.93,60.61,8.46,"SiLo",27.65,63.89,8.46,"SiLo"
"NWT","Saddle","D7",40.05475633,-105.5892997,51.33,41.66,7,"SaLo",46.83,46.16,7,"SaLo"
"NWT","Saddle","D8",40.05477337,-105.588547,56.54,36.59,6.87,"SaLo",54.02,39.11,6.87,"SaLo"
"NWT","Saddle","E1",40.05419345,-105.5934868,52.69,39.92,7.38,"SaLo",49.11,43.5,7.38,"SaLo"
"NWT","Saddle","E2",40.0542132,-105.5927618,57.99,34.51,7.5,"SaLo",54.8,37.7,7.5,"SaLo"
