LONGITUDE.,LATITUDE.x,GPS_ELEV,plot,UTM_E,UTM_N,2m Aug 1 S,Slope,Aspect
-105.5867879,40.0574014,3522.352,801,449953.772,4434293.177,23.87673,14.64708,318.50461
-105.5873398,40.0575492,3514.446,80,449906.812,4434309.889,25.36749,7.41031,311.74356
-105.5879297,40.0576812,3512.421,79,449856.599,4434324.87,24.61861,5.80469,9.69499
-105.5884734,40.0577508,3512.625,78,449810.279,4434332.9,24.93032,6.96489,348.64755
-105.5890487,40.0579254,3508.174,77,449761.34,4434352.605,24.49285,6.63615,13.554
-105.5897005,40.057939,3510.757,76,449705.757,4434354.48,23.79139,9.4428,32.60828
-105.5901681,40.0580666,3515.389,75,449665.971,4434368.91,23.44888,11.17066,50.19172
-105.5907539,40.0581931,3520.112,74,449616.102,4434383.287,23.23952,12.55445,60.43823
-105.5913673,40.0582885,3528.616,73,449563.855,4434394.219,23.36878,11.55114,48.49884
-105.5918275,40.0584009,3535.939,72,449524.693,4434406.953,22.74778,14.94663,48.49302
-105.5925044,40.0585644,3543.414,71,449467.082,4434425.485,23.18151,12.84415,58.39674
-105.5869364,40.057018,3529.63,701,449940.826,4434250.699,24.70764,11.94015,320.09415
-105.5875027,40.0571216,3521.854,70,449892.607,4434262.513,24.40248,8.0975,357.02469
-105.5880819,40.057254,3518.987,69,449843.307,4434277.544,25.08062,6.62017,330.34924
-105.5886564,40.057357,3516.923,68,449794.383,4434289.291,25.03707,5.66137,1.61406
-105.5892177,40.0574817,3516.542,67,449746.595,4434303.451,23.42956,11.85955,7.43951
-105.5897547,40.0575967,3515.337,66,449700.887,4434316.516,24.08218,8.21837,32.31421
-105.5904103,40.0576992,3521.916,65,449645.04,4434328.263,23.52961,11.13961,56.51233
-105.5908753,40.0578222,3528.991,64,449605.476,4434342.179,23.31302,12.76977,66.04308
-105.5915301,40.0578688,3537.267,63,449549.66,4434347.73,23.30512,12.24782,56.87504
-105.5921017,40.0580265,3545.044,62,449501.029,4434365.555,23.33398,12.0492,54.99643
