"LTER_site","local_site","site_ID","year","date","time","latitude","longitude","survey_no","survey_start_date","snow","surface_temp","soil_moist_vol_avg","soil_moist_vol_sd","soil_moist_vol_rg","soil_temp_avg","soil_temp_sd","soil_temp_rg"
"NWT","Saddle","sn_10",2017,2017-07-03,"9:14:00",40.05428005,-105.5881625,1,2017-07-03,FALSE,NA,0.045718582,0.020149486,0.047580368,9.133333333,0.057735027,0.1
"NWT","Saddle","sn_09",2017,2017-07-03,"9:26:00",40.05451188,-105.5888025,1,2017-07-03,FALSE,NA,0.037906701,0.02442259,0.056580111,8.933333333,0.057735027,0.1
"NWT","Saddle","D8",2017,2017-07-03,"9:42:00",40.05477337,-105.588547,1,2017-07-03,FALSE,NA,0.066224078,0.015423592,0.038775614,8.933333333,0.057735027,0.1
"NWT","Saddle","C8",2017,2017-07-03,"9:55:00",40.05531092,-105.5892701,1,2017-07-03,FALSE,NA,0.128388195,0.021442709,0.059814592,6.4,0.173205081,0.3
"NWT","Saddle","C7",2017,2017-07-03,"10:05:00",40.05529184,-105.589958,1,2017-07-03,FALSE,NA,0.419636811,0.139056022,0.35175415,7.433333333,0.2081666,0.4
"NWT","Saddle","C6",2017,2017-07-03,"10:17:00",40.05530278,-105.5906892,1,2017-07-03,FALSE,NA,0.42007678,0.038261852,0.092754953,3.266666667,0.057735027,0.1
"NWT","Saddle","C5",2017,2017-07-03,"10:27:00",40.05528265,-105.5913845,1,2017-07-03,FALSE,NA,0.594617157,0.074636704,0.164675477,2.233333333,0.152752523,0.3
"NWT","Saddle","B6",2017,2017-07-03,"10:35:00",40.05580624,-105.5913764,1,2017-07-03,FALSE,NA,0.680635612,0.052595974,0.120010311,0.8,0.458257569,0.9
"NWT","Saddle","B5",2017,2017-07-03,"10:44:00",40.0558249,-105.5920713,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","B4",2017,2017-07-03,"10:48:00",40.05582609,-105.592797,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","B3",2017,2017-07-03,"10:52:00",40.0557891,-105.5934707,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","A3",2017,2017-07-03,"10:55:00",40.0563715,-105.5935083,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","A2",2017,2017-07-03,"11:03:00",40.05635168,-105.5942169,1,2017-07-03,FALSE,NA,0.398171231,0.040072106,0.109437972,5.533333333,0.152752523,0.3
"NWT","Saddle","B1",2017,2017-07-03,"11:18:00",40.05580131,-105.5949304,1,2017-07-03,FALSE,NA,0.095098898,0.017266357,0.043273342,8.4,0.1,0.2
"NWT","Saddle","C1",2017,2017-07-03,"11:31:00",40.05527279,-105.5941995,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","C2",2017,2017-07-03,"11:35:00",40.0552713,-105.5934853,1,2017-07-03,TRUE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","C3",2017,2017-07-03,"11:42:00",40.05525654,-105.5928226,1,2017-07-03,FALSE,NA,0.456692756,0.040731672,0.106346602,5.2,0.346410162,0.6
"NWT","Saddle","C4",2017,2017-07-03,"11:51:00",40.05528028,-105.5921034,1,2017-07-03,FALSE,NA,0.644083588,0.039765659,0.097695518,1.233333333,0.251661148,0.5
"NWT","Saddle","D3",2017,2017-07-03,"12:01:00",40.05475557,-105.5920666,1,2017-07-03,FALSE,NA,0.183659413,0.022979994,0.058240773,8.4,0.173205081,0.3
"NWT","Saddle","D2",2017,2017-07-03,"12:12:00",40.05473855,-105.5927751,1,2017-07-03,FALSE,NA,0.209744775,0.024730805,0.059011238,6.266666667,0.057735027,0.1
"NWT","Saddle","D1",2017,2017-07-03,"12:24:00",40.05474931,-105.5934924,1,2017-07-03,FALSE,NA,0.442191035,0.05650726,0.132771391,6,0.1,0.2
"NWT","Saddle","E1",2017,2017-07-03,"12:42:00",40.05419345,-105.5934868,1,2017-07-03,FALSE,NA,0.170147904,0.016283299,0.039476071,8.7,0,0
"NWT","Saddle","E2",2017,2017-07-03,"12:53:00",40.0542132,-105.5927618,1,2017-07-03,FALSE,NA,0.18261002,0.050659954,0.131158914,9.7,0.529150262,1
"NWT","Saddle","E3",2017,2017-07-03,"13:01:00",40.05419677,-105.5920523,1,2017-07-03,FALSE,NA,0.121008418,0.027716364,0.069646599,10.5,0.360555128,0.7
"NWT","Saddle","E4",2017,2017-07-03,"13:13:00",40.05420748,-105.5913913,1,2017-07-03,FALSE,NA,NA,NA,NA,NA,NA,NA
"NWT","Saddle","D4",2017,2017-07-03,"13:20:00",40.05474881,-105.5913547,1,2017-07-03,FALSE,NA,0.867955441,0.034090272,0.089927577,0.133333333,0.057735027,0.1
"NWT","Saddle","sn_06",2017,2017-07-03,"13:30:00",40.0550092,-105.5906277,1,2017-07-03,FALSE,NA,0.481411724,0.050599216,0.128870123,4.633333333,0.351188458,0.7
"NWT","Saddle","sn_07",2017,2017-07-03,"13:37:00",40.05488301,-105.5900327,1,2017-07-03,FALSE,NA,0.391723473,0.049602083,0.10093275,6.9,1.153256259,2.3
"NWT","Saddle","sn_08",2017,2017-07-03,"13:48:00",40.05484677,-105.5896659,1,2017-07-03,FALSE,NA,0.34522136,0.047793501,0.125084357,8.033333333,0.65064071,1.3
"NWT","Saddle","E6",2017,2017-07-03,"14:13:00",40.05421679,-105.5899755,1,2017-07-03,FALSE,NA,0.36202558,0.029117487,0.062746644,9.6,0.953939201,1.7
"NWT","Saddle","E7",2017,2017-07-03,"14:25:00",40.05424577,-105.5892853,1,2017-07-03,FALSE,NA,0.05977627,0.025723292,0.0658271,11.33333333,0.152752523,0.3
"NWT","Saddle","F6",2017,2017-07-03,"14:35:00",40.05368707,-105.5892693,1,2017-07-03,FALSE,NA,0.491543969,0.098649683,0.275259282,7.066666667,0.472581563,0.9
